GENDER,AGE,COUNTRY,EMPLOYMENT,EDUCATION,COMP 1.1,COMP 1.2,COMP 1.3,AREA 1,COMP 2.1,COMP 2.2,COMP 2.3,COMP 2.4,COMP 2.5,COMP 2.6,AREA 2,COMP 3.1,COMP 3.2,COMP 3.3,COMP 3.4,AREA 3,COMP 4.1,COMP 4.2,COMP 4.3,COMP 4.4,AREA 4,COMP 5.1,COMP 5.2,COMP 5.3,COMP 5.4,AREA 5
Male,21,IT,In full-time Education,In or completed secondary education,100,"91,75","83,5","91,75","91,75","66,75","66,75",89,"75,25","91,75","79,83",75,33,"58,5","41,5",52,"83,5","93,4","66,67","66,75",76,"66,75","83,5","44,33","75,25","71,92"
Prefer not to say,12,AQ,Retired,In or completed primary education,100,100,100,100,100,100,100,100,100,100,100,75,100,100,100,"93,75",100,100,100,100,100,100,100,100,100,100
Male,21,IT,In full-time Education,In or completed higher education,50,50,"58,25","52,75","83,5","58,5","66,75","55,67",50,50,"60,96","58,25","24,75",50,"16,5","37,38","41,5",67,"55,67",50,"53,78","58,5",67,"44,33",67,"61,77"
Male,19,IT,In full-time Education,In or completed higher education,"66,75","75,25","75,25","72,42",100,"75,25",75,"55,67","58,5","66,75","72,57","83,5","58,5",50,25,"54,25","58,5","73,6","44,33","75,25","66,83","83,5","91,75","55,67",67,"74,54"
Male,24,IT,In full-time Education,In or completed higher education,"66,75","83,5","91,75","80,67","83,5","50,25","66,75",100,"75,25","58,5","71,17",75,"58,5","66,75","58,25","64,63","58,5",80,"66,67",67,"68,67","58,5","75,25","44,33","66,75","61,62"
Male,20,IT,In full-time Education,In or completed higher education,"66,75","91,75","91,75","83,42",100,"83,5",75,67,67,"66,75","76,96","75,25",33,50,25,"45,81","58,5",80,"44,67","83,25","72,28",100,"91,75","33,33","58,5","69,31"
Male,50,IT,In Employment,In or completed higher education,"75,25","75,25",67,"72,5",67,"58,5","58,5",67,67,67,"64,04",67,"58,5",67,50,"60,63",67,"60,2",67,"58,5","63,22",67,67,"55,67",67,"64,38"
Female,47,IT,In Employment,In or completed higher education,"58,25","83,5","66,75","69,5","83,5","83,5",50,"55,67","58,5",50,"63,87","75,25",50,33,"16,75","43,75",50,"39,8","66,67","41,5","48,06","41,75","41,5","33,33","58,5","43,62"
Male,20,IT,In full-time Education,In or completed higher education,"66,75","58,5","91,75","72,33",75,75,"58,25",100,"58,5","41,75","66,7",75,25,"33,25","16,5","37,44","41,5",40,"22,33","58,25","42,56",50,"83,5","22,33",50,"53,92"
Male,22,IT,In full-time Education,In or completed higher education,"83,5",100,"83,25","88,92",75,"83,5","83,25",78,67,"83,5","78,39","75,25","58,5","58,25",33,"56,25","66,75",80,"55,33","91,75","77,78","91,75","91,75","44,33",50,"66,69"
Male,18,IT,In full-time Education,In or completed higher education,"33,25",50,"58,5","47,25",67,"75,25","58,25","66,67","50,25","41,75","59,57",50,"41,75",50,25,"41,69","33,25","53,4","55,67",67,"53,83","58,5",50,"33,33",50,"46,15"
Female,19,IT,In full-time Education,In or completed higher education,"75,25","83,25","75,25","77,92","66,75","83,5","66,75","55,67","58,5",67,"66,83","75,25","33,25","33,25","66,75","52,13","24,75","60,2","44,67","83,5","53,78",50,"58,5",33,"66,75","53,85"
Male,20,IT,In full-time Education,In or completed vet education,"91,75","83,5","91,75",89,"91,75","91,75",75,100,"91,75","91,75","89,91","91,75","83,25",100,"41,5","79,13","91,75","86,8",78,"66,75","79,72",75,100,100,"66,75","87,23"
Male,21,IT,In full-time Education,In or completed secondary education,"33,25","33,25","50,25","38,92","50,25","41,75","50,25",78,67,"58,5","56,74","58,5","41,75","33,25","8,25","35,44",50,"26,4","22,33",25,37,"83,5","91,75","66,67","66,75",77
Male,18,IT,In full-time Education,In or completed vet education,"41,5","75,25","41,5","52,75","58,5",50,"16,5","44,33",67,"33,25","44,96","41,5","16,5","33,25",25,"29,06","41,5","46,8","55,67","58,5","50,06","41,75",50,"33,33","58,5","46,23"
Male,21,IT,In Employment,In or completed higher education,75,100,"91,75","88,92","91,75","91,75",75,"55,33",100,"91,75","85,52","75,25",50,75,"8,25","52,13","58,25","73,4",89,75,"74,11","75,25",67,"44,33",75,"64,23"
Male,19,IT,In full-time Education,In or completed higher education,"83,25","91,75",75,"83,33","83,5","66,75","41,75","44,67","91,75",50,"63,87",50,"33,25",50,"16,5","37,44","50,25","73,4","44,67","83,5","68,67","91,75","91,75","33,33","66,75","69,31"
